Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2
How Deep Is Your Love,Bee Gees,1977,12,24,Bee Gees,None,None
How Deep Is Your Love,Bee Gees,1977,12,31,Bee Gees,None,None
How Deep Is Your Love,Bee Gees,1978,1,7,Bee Gees,None,None
Baby Come Back,Player,1978,1,14,Player,None,None
Baby Come Back,Player,1978,1,21,Player,None,None
Baby Come Back,Player,1978,1,28,Player,None,None
Stayin' Alive,Bee Gees,1978,2,4,Bee Gees,None,None
Stayin' Alive,Bee Gees,1978,2,11,Bee Gees,None,None
Stayin' Alive,Bee Gees,1978,2,18,Bee Gees,None,None
Stayin' Alive,Bee Gees,1978,2,25,Bee Gees,None,None
(Love Is) Thicker Than Water,Andy Gibb,1978,3,4,Andy Gibb,None,None
(Love Is) Thicker Than Water,Andy Gibb,1978,3,11,Andy Gibb,None,None
Night Fever,Bee Gees,1978,3,18,Bee Gees,None,None
Night Fever,Bee Gees,1978,3,25,Bee Gees,None,None
Night Fever,Bee Gees,1978,4,1,Bee Gees,None,None
Night Fever,Bee Gees,1978,4,8,Bee Gees,None,None
Night Fever,Bee Gees,1978,4,15,Bee Gees,None,None
Night Fever,Bee Gees,1978,4,22,Bee Gees,None,None
Night Fever,Bee Gees,1978,4,29,Bee Gees,None,None
Night Fever,Bee Gees,1978,5,6,Bee Gees,None,None
If I Can't Have You,Yvonne Elliman,1978,5,13,Yvonne Elliman,None,None
With a Little Luck,Wings,1978,5,20,Wings,None,None
With a Little Luck,Wings,1978,5,27,Wings,None,None
"Too Much, Too Little, Too Late",Johnny Mathis and Deniece Williams,1978,6,3,Johnny Mathis and Deniece Williams,None,None
You're the One That I Want,John Travolta and Olivia Newton-John,1978,6,10,John Travolta and Olivia Newton-John,None,None
Shadow Dancing,Andy Gibb,1978,6,17,Andy Gibb,None,None
Shadow Dancing,Andy Gibb,1978,6,24,Andy Gibb,None,None
Shadow Dancing,Andy Gibb,1978,7,1,Andy Gibb,None,None
Shadow Dancing,Andy Gibb,1978,7,8,Andy Gibb,None,None
Shadow Dancing,Andy Gibb,1978,7,15,Andy Gibb,None,None
Shadow Dancing,Andy Gibb,1978,7,22,Andy Gibb,None,None
Shadow Dancing,Andy Gibb,1978,7,29,Andy Gibb,None,None
Miss You,The Rolling Stones,1978,8,5,The Rolling Stones,None,None
Three Times a Lady,Commodores,1978,8,12,Commodores,None,None
Three Times a Lady,Commodores,1978,8,19,Commodores,None,None
Grease,Frankie Valli,1978,8,26,Frankie Valli,None,None
Grease,Frankie Valli,1978,9,2,Frankie Valli,None,None
Boogie Oogie Oogie,A Taste of Honey,1978,9,9,A Taste of Honey,None,None
Boogie Oogie Oogie,A Taste of Honey,1978,9,16,A Taste of Honey,None,None
Boogie Oogie Oogie,A Taste of Honey,1978,9,23,A Taste of Honey,None,None
Kiss You All Over,Exile,1978,9,30,Exile,None,None
Kiss You All Over,Exile,1978,10,7,Exile,None,None
Kiss You All Over,Exile,1978,10,14,Exile,None,None
Kiss You All Over,Exile,1978,10,21,Exile,None,None
Hot Child in the City,Nick Gilder,1978,10,28,Nick Gilder,None,None
You Needed Me,Anne Murray,1978,11,4,Anne Murray,None,None
MacArthur Park,Donna Summer,1978,11,11,Donna Summer,None,None
MacArthur Park,Donna Summer,1978,11,18,Donna Summer,None,None
MacArthur Park,Donna Summer,1978,11,25,Donna Summer,None,None
You Don't Bring Me Flowers,Barbra Streisand and Neil Diamond,1978,12,2,Barbra Streisand and Neil Diamond,None,None
Le Freak,Chic,1978,12,9,Chic,None,None
You Don't Bring Me Flowers,Barbra Streisand and Neil Diamond,1978,12,16,Barbra Streisand and Neil Diamond,None,None
Le Freak,Chic,1978,12,23,Chic,None,None
Le Freak,Chic,1978,12,30,Chic,None,None
Too Much Heaven,Bee Gees,1979,1,6,Bee Gees,None,None
Too Much Heaven,Bee Gees,1979,1,13,Bee Gees,None,None
Le Freak,Chic,1979,1,20,Chic,None,None
Le Freak,Chic,1979,1,27,Chic,None,None
Le Freak,Chic,1979,2,3,Chic,None,None
Da Ya Think I'm Sexy?,Rod Stewart,1979,2,10,Rod Stewart,None,None
Da Ya Think I'm Sexy?,Rod Stewart,1979,2,17,Rod Stewart,None,None
Da Ya Think I'm Sexy?,Rod Stewart,1979,2,24,Rod Stewart,None,None
Da Ya Think I'm Sexy?,Rod Stewart,1979,3,3,Rod Stewart,None,None
I Will Survive,Gloria Gaynor,1979,3,10,Gloria Gaynor,None,None
I Will Survive,Gloria Gaynor,1979,3,17,Gloria Gaynor,None,None
Tragedy,Bee Gees,1979,3,24,Bee Gees,None,None
Tragedy,Bee Gees,1979,3,31,Bee Gees,None,None
I Will Survive,Gloria Gaynor,1979,4,7,Gloria Gaynor,None,None
What a Fool Believes,The Doobie Brothers,1979,4,14,The Doobie Brothers,None,None
Knock on Wood,Amii Stewart,1979,4,21,Amii Stewart,None,None
Heart of Glass,Blondie,1979,4,28,Blondie,None,None
Reunited,Peaches & Herb,1979,5,5,Peaches & Herb,None,None
Reunited,Peaches & Herb,1979,5,12,Peaches & Herb,None,None
Reunited,Peaches & Herb,1979,5,19,Peaches & Herb,None,None
Reunited,Peaches & Herb,1979,5,26,Peaches & Herb,None,None
Hot Stuff,Donna Summer,1979,6,2,Donna Summer,None,None
Love You Inside Out,Bee Gees,1979,6,9,Bee Gees,None,None
Hot Stuff,Donna Summer,1979,6,16,Donna Summer,None,None
Hot Stuff,Donna Summer,1979,6,23,Donna Summer,None,None
Ring My Bell,Anita Ward,1979,6,30,Anita Ward,None,None
Ring My Bell,Anita Ward,1979,7,7,Anita Ward,None,None
Bad Girls,Donna Summer,1979,7,14,Donna Summer,None,None
Bad Girls,Donna Summer,1979,7,21,Donna Summer,None,None
Bad Girls,Donna Summer,1979,7,28,Donna Summer,None,None
Bad Girls,Donna Summer,1979,8,4,Donna Summer,None,None
Bad Girls,Donna Summer,1979,8,11,Donna Summer,None,None
Good Times,Chic,1979,8,18,Chic,None,None
My Sharona,The Knack,1979,8,25,The Knack,None,None
My Sharona,The Knack,1979,9,1,The Knack,None,None
My Sharona,The Knack,1979,9,8,The Knack,None,None
My Sharona,The Knack,1979,9,15,The Knack,None,None
My Sharona,The Knack,1979,9,22,The Knack,None,None
My Sharona,The Knack,1979,9,29,The Knack,None,None
Sad Eyes,Robert John,1979,10,6,Robert John,None,None
Don't Stop 'Til You Get Enough,Michael Jackson,1979,10,13,Michael Jackson,None,None
Rise,Herb Alpert,1979,10,20,Herb Alpert,None,None
Rise,Herb Alpert,1979,10,27,Herb Alpert,None,None
Pop Muzik,M,1979,11,3,M,None,None
Heartache Tonight,Eagles,1979,11,10,Eagles,None,None
Still,Commodores,1979,11,17,Commodores,None,None
No More Tears (Enough Is Enough),Barbra Streisand and Donna Summer,1979,11,24,Barbra Streisand and Donna Summer,None,None
No More Tears (Enough Is Enough),Barbra Streisand and Donna Summer,1979,12,1,Barbra Streisand and Donna Summer,None,None
Babe,Styx,1979,12,8,Styx,None,None
Babe,Styx,1979,12,15,Styx,None,None
Escape (The Piña Colada Song),Rupert Holmes,1979,12,22,Rupert Holmes,None,None
Escape (The Piña Colada Song),Rupert Holmes,1979,12,29,Rupert Holmes,None,None
Please Don't Go,KC and the Sunshine Band,1980,1,5,KC and the Sunshine Band,None,None
Escape (The Piña Colada Song),Rupert Holmes,1980,1,12,Rupert Holmes,None,None
Rock with You,Michael Jackson,1980,1,19,Michael Jackson,None,None
Rock with You,Michael Jackson,1980,1,26,Michael Jackson,None,None
Rock with You,Michael Jackson,1980,2,2,Michael Jackson,None,None
Rock with You,Michael Jackson,1980,2,9,Michael Jackson,None,None
Do That to Me One More Time,Captain & Tennille,1980,2,16,Captain & Tennille,None,None
Crazy Little Thing Called Love,Queen,1980,2,23,Queen,None,None
Crazy Little Thing Called Love,Queen,1980,3,1,Queen,None,None
Crazy Little Thing Called Love,Queen,1980,3,8,Queen,None,None
Crazy Little Thing Called Love,Queen,1980,3,15,Queen,None,None
"Another Brick in the Wall, Part II",Pink Floyd,1980,3,22,Pink Floyd,None,None
"Another Brick in the Wall, Part II",Pink Floyd,1980,3,29,Pink Floyd,None,None
"Another Brick in the Wall, Part II",Pink Floyd,1980,4,5,Pink Floyd,None,None
"Another Brick in the Wall, Part II",Pink Floyd,1980,4,12,Pink Floyd,None,None
Call Me,Blondie,1980,4,19,Blondie,None,None
Call Me,Blondie,1980,4,26,Blondie,None,None
Call Me,Blondie,1980,5,3,Blondie,None,None
Call Me,Blondie,1980,5,10,Blondie,None,None
Call Me,Blondie,1980,5,17,Blondie,None,None
Call Me,Blondie,1980,5,24,Blondie,None,None
Funkytown,Lipps Inc.,1980,5,31,Lipps Inc.,None,None
Funkytown,Lipps Inc.,1980,6,7,Lipps Inc.,None,None
Funkytown,Lipps Inc.,1980,6,14,Lipps Inc.,None,None
Funkytown,Lipps Inc.,1980,6,21,Lipps Inc.,None,None
Coming Up,Paul McCartney,1980,6,28,Paul McCartney,None,None
Coming Up,Paul McCartney,1980,7,5,Paul McCartney,None,None
Coming Up,Paul McCartney,1980,7,12,Paul McCartney,None,None
It's Still Rock and Roll to Me,Billy Joel,1980,7,19,Billy Joel,None,None
It's Still Rock and Roll to Me,Billy Joel,1980,7,26,Billy Joel,None,None
Magic,Olivia Newton-John,1980,8,2,Olivia Newton-John,None,None
Magic,Olivia Newton-John,1980,8,9,Olivia Newton-John,None,None
Magic,Olivia Newton-John,1980,8,16,Olivia Newton-John,None,None
Magic,Olivia Newton-John,1980,8,23,Olivia Newton-John,None,None
Sailing,Christopher Cross,1980,8,30,Christopher Cross,None,None
Upside Down,Diana Ross,1980,9,6,Diana Ross,None,None
Upside Down,Diana Ross,1980,9,13,Diana Ross,None,None
Upside Down,Diana Ross,1980,9,20,Diana Ross,None,None
Upside Down,Diana Ross,1980,9,27,Diana Ross,None,None
Another One Bites the Dust,Queen,1980,10,4,Queen,None,None
Another One Bites the Dust,Queen,1980,10,11,Queen,None,None
Another One Bites the Dust,Queen,1980,10,18,Queen,None,None
Woman in Love,Barbra Streisand,1980,10,25,Barbra Streisand,None,None
Woman in Love,Barbra Streisand,1980,11,1,Barbra Streisand,None,None
Woman in Love,Barbra Streisand,1980,11,8,Barbra Streisand,None,None
Lady,Kenny Rogers,1980,11,15,Kenny Rogers,None,None
Lady,Kenny Rogers,1980,11,22,Kenny Rogers,None,None
Lady,Kenny Rogers,1980,11,29,Kenny Rogers,None,None
Lady,Kenny Rogers,1980,12,6,Kenny Rogers,None,None
Lady,Kenny Rogers,1980,12,13,Kenny Rogers,None,None
Lady,Kenny Rogers,1980,12,20,Kenny Rogers,None,None
(Just Like) Starting Over,John Lennon,1980,12,27,John Lennon,None,None
(Just Like) Starting Over,John Lennon,1981,1,3,John Lennon,None,None
(Just Like) Starting Over,John Lennon,1981,1,10,John Lennon,None,None
(Just Like) Starting Over,John Lennon,1981,1,17,John Lennon,None,None
(Just Like) Starting Over,John Lennon,1981,1,24,John Lennon,None,None
The Tide Is High,Blondie,1981,1,31,Blondie,None,None
Celebration,Kool & the Gang,1981,2,7,Kool & the Gang,None,None
Celebration,Kool & the Gang,1981,2,14,Kool & the Gang,None,None
9 to 5,Dolly Parton,1981,2,21,Dolly Parton,None,None
I Love a Rainy Night,Eddie Rabbitt,1981,2,28,Eddie Rabbitt,None,None
I Love a Rainy Night,Eddie Rabbitt,1981,3,7,Eddie Rabbitt,None,None
9 to 5,Dolly Parton,1981,3,14,Dolly Parton,None,None
Keep On Loving You,REO Speedwagon,1981,3,21,REO Speedwagon,None,None
Rapture,Blondie,1981,3,28,Blondie,None,None
Rapture,Blondie,1981,4,4,Blondie,None,None
Kiss on My List,Daryl Hall and John Oates,1981,4,11,Daryl Hall and John Oates,None,None
Kiss on My List,Daryl Hall and John Oates,1981,4,18,Daryl Hall and John Oates,None,None
Kiss on My List,Daryl Hall and John Oates,1981,4,25,Daryl Hall and John Oates,None,None
Morning Train (Nine to Five),Sheena Easton,1981,5,2,Sheena Easton,None,None
Morning Train (Nine to Five),Sheena Easton,1981,5,9,Sheena Easton,None,None
Bette Davis Eyes,Kim Carnes,1981,5,16,Kim Carnes,None,None
Bette Davis Eyes,Kim Carnes,1981,5,23,Kim Carnes,None,None
Bette Davis Eyes,Kim Carnes,1981,5,30,Kim Carnes,None,None
Bette Davis Eyes,Kim Carnes,1981,6,6,Kim Carnes,None,None
Bette Davis Eyes,Kim Carnes,1981,6,13,Kim Carnes,None,None
Stars on 45,Stars on 45,1981,6,20,Stars on 45,None,None
Bette Davis Eyes,Kim Carnes,1981,6,27,Kim Carnes,None,None
Bette Davis Eyes,Kim Carnes,1981,7,4,Kim Carnes,None,None
Bette Davis Eyes,Kim Carnes,1981,7,11,Kim Carnes,None,None
Bette Davis Eyes,Kim Carnes,1981,7,18,Kim Carnes,None,None
The One That You Love,Air Supply,1981,7,25,Air Supply,None,None
Jessie's Girl,Rick Springfield,1981,8,1,Rick Springfield,None,None
Jessie's Girl,Rick Springfield,1981,8,8,Rick Springfield,None,None
Endless Love,Diana Ross and Lionel Richie,1981,8,15,Diana Ross and Lionel Richie,None,None
Endless Love,Diana Ross and Lionel Richie,1981,8,22,Diana Ross and Lionel Richie,None,None
Endless Love,Diana Ross and Lionel Richie,1981,8,29,Diana Ross and Lionel Richie,None,None
Endless Love,Diana Ross and Lionel Richie,1981,9,5,Diana Ross and Lionel Richie,None,None
Endless Love,Diana Ross and Lionel Richie,1981,9,12,Diana Ross and Lionel Richie,None,None
Endless Love,Diana Ross and Lionel Richie,1981,9,19,Diana Ross and Lionel Richie,None,None
Endless Love,Diana Ross and Lionel Richie,1981,9,26,Diana Ross and Lionel Richie,None,None
Endless Love,Diana Ross and Lionel Richie,1981,10,3,Diana Ross and Lionel Richie,None,None
Endless Love,Diana Ross and Lionel Richie,1981,10,10,Diana Ross and Lionel Richie,None,None
Arthur's Theme (Best That You Can Do),Christopher Cross,1981,10,17,Christopher Cross,None,None
Arthur's Theme (Best That You Can Do),Christopher Cross,1981,10,24,Christopher Cross,None,None
Arthur's Theme (Best That You Can Do),Christopher Cross,1981,10,31,Christopher Cross,None,None
Private Eyes,Daryl Hall and John Oates,1981,11,7,Daryl Hall and John Oates,None,None
Private Eyes,Daryl Hall and John Oates,1981,11,14,Daryl Hall and John Oates,None,None
Physical,Olivia Newton-John,1981,11,21,Olivia Newton-John,None,None
Physical,Olivia Newton-John,1981,11,28,Olivia Newton-John,None,None
Physical,Olivia Newton-John,1981,12,5,Olivia Newton-John,None,None
Physical,Olivia Newton-John,1981,12,12,Olivia Newton-John,None,None
Physical,Olivia Newton-John,1981,12,19,Olivia Newton-John,None,None
Physical,Olivia Newton-John,1981,12,26,Olivia Newton-John,None,None
Physical,Olivia Newton-John,1982,1,2,Olivia Newton-John,None,None
Physical,Olivia Newton-John,1982,1,9,Olivia Newton-John,None,None
Physical,Olivia Newton-John,1982,1,16,Olivia Newton-John,None,None
Physical,Olivia Newton-John,1982,1,23,Olivia Newton-John,None,None
I Can't Go for That (No Can Do),Daryl Hall and John Oates,1982,1,30,Daryl Hall and John Oates,None,None
Centerfold,The J. Geils Band,1982,2,6,The J. Geils Band,None,None
Centerfold,The J. Geils Band,1982,2,13,The J. Geils Band,None,None
Centerfold,The J. Geils Band,1982,2,20,The J. Geils Band,None,None
Centerfold,The J. Geils Band,1982,2,27,The J. Geils Band,None,None
Centerfold,The J. Geils Band,1982,3,6,The J. Geils Band,None,None
Centerfold,The J. Geils Band,1982,3,13,The J. Geils Band,None,None
I Love Rock 'n' Roll,Joan Jett and the Blackhearts,1982,3,20,Joan Jett and the Blackhearts,None,None
I Love Rock 'n' Roll,Joan Jett and the Blackhearts,1982,3,27,Joan Jett and the Blackhearts,None,None
I Love Rock 'n' Roll,Joan Jett and the Blackhearts,1982,4,3,Joan Jett and the Blackhearts,None,None
I Love Rock 'n' Roll,Joan Jett and the Blackhearts,1982,4,10,Joan Jett and the Blackhearts,None,None
I Love Rock 'n' Roll,Joan Jett and the Blackhearts,1982,4,17,Joan Jett and the Blackhearts,None,None
I Love Rock 'n' Roll,Joan Jett and the Blackhearts,1982,4,24,Joan Jett and the Blackhearts,None,None
I Love Rock 'n' Roll,Joan Jett and the Blackhearts,1982,5,1,Joan Jett and the Blackhearts,None,None
Chariots of Fire,Vangelis,1982,5,8,Vangelis,None,None
Ebony and Ivory,Paul McCartney and Stevie Wonder,1982,5,15,Paul McCartney and Stevie Wonder,None,None
Ebony and Ivory,Paul McCartney and Stevie Wonder,1982,5,22,Paul McCartney and Stevie Wonder,None,None
Ebony and Ivory,Paul McCartney and Stevie Wonder,1982,5,29,Paul McCartney and Stevie Wonder,None,None
Ebony and Ivory,Paul McCartney and Stevie Wonder,1982,6,5,Paul McCartney and Stevie Wonder,None,None
Ebony and Ivory,Paul McCartney and Stevie Wonder,1982,6,12,Paul McCartney and Stevie Wonder,None,None
Ebony and Ivory,Paul McCartney and Stevie Wonder,1982,6,19,Paul McCartney and Stevie Wonder,None,None
Ebony and Ivory,Paul McCartney and Stevie Wonder,1982,6,26,Paul McCartney and Stevie Wonder,None,None
Don't You Want Me,The Human League,1982,7,3,The Human League,None,None
Don't You Want Me,The Human League,1982,7,10,The Human League,None,None
Don't You Want Me,The Human League,1982,7,17,The Human League,None,None
Eye of the Tiger,Survivor,1982,7,24,Survivor,None,None
Eye of the Tiger,Survivor,1982,7,31,Survivor,None,None
Eye of the Tiger,Survivor,1982,8,7,Survivor,None,None
Eye of the Tiger,Survivor,1982,8,14,Survivor,None,None
Eye of the Tiger,Survivor,1982,8,21,Survivor,None,None
Eye of the Tiger,Survivor,1982,8,28,Survivor,None,None
Abracadabra,Steve Miller Band,1982,9,4,Steve Miller Band,None,None
Hard to Say I'm Sorry,Chicago,1982,9,11,Chicago,None,None
Hard to Say I'm Sorry,Chicago,1982,9,18,Chicago,None,None
Abracadabra,Steve Miller Band,1982,9,25,Steve Miller Band,None,None
Jack & Diane,John Cougar,1982,10,2,John Cougar,None,None
Jack & Diane,John Cougar,1982,10,9,John Cougar,None,None
Jack & Diane,John Cougar,1982,10,16,John Cougar,None,None
Jack & Diane,John Cougar,1982,10,23,John Cougar,None,None
Who Can It Be Now?,Men at Work,1982,10,30,Men at Work,None,None
Up Where We Belong,Joe Cocker and Jennifer Warnes,1982,11,6,Joe Cocker and Jennifer Warnes,None,None
Up Where We Belong,Joe Cocker and Jennifer Warnes,1982,11,13,Joe Cocker and Jennifer Warnes,None,None
Up Where We Belong,Joe Cocker and Jennifer Warnes,1982,11,20,Joe Cocker and Jennifer Warnes,None,None
Truly,Lionel Richie,1982,11,27,Lionel Richie,None,None
Truly,Lionel Richie,1982,12,4,Lionel Richie,None,None
Mickey,Toni Basil,1982,12,11,Toni Basil,None,None
Maneater,Daryl Hall and John Oates,1982,12,18,Daryl Hall and John Oates,None,None
Maneater,Daryl Hall and John Oates,1982,12,25,Daryl Hall and John Oates,None,None
Maneater,Daryl Hall and John Oates,1983,1,1,Daryl Hall and John Oates,None,None
Maneater,Daryl Hall and John Oates,1983,1,8,Daryl Hall and John Oates,None,None
Down Under,Men at Work,1983,1,15,Men at Work,None,None
Down Under,Men at Work,1983,1,22,Men at Work,None,None
Down Under,Men at Work,1983,1,29,Men at Work,None,None
Africa,Toto,1983,2,5,Toto,None,None
Down Under,Men at Work,1983,2,12,Men at Work,None,None
"Baby, Come to Me",Patti Austin and James Ingram,1983,2,19,Patti Austin and James Ingram,None,None
"Baby, Come to Me",Patti Austin and James Ingram,1983,2,26,Patti Austin and James Ingram,None,None
Billie Jean,Michael Jackson,1983,3,5,Michael Jackson,None,None
Billie Jean,Michael Jackson,1983,3,12,Michael Jackson,None,None
Billie Jean,Michael Jackson,1983,3,19,Michael Jackson,None,None
Billie Jean,Michael Jackson,1983,3,26,Michael Jackson,None,None
Billie Jean,Michael Jackson,1983,4,2,Michael Jackson,None,None
Billie Jean,Michael Jackson,1983,4,9,Michael Jackson,None,None
Billie Jean,Michael Jackson,1983,4,16,Michael Jackson,None,None
Come On Eileen,Dexys Midnight Runners,1983,4,23,Dexys Midnight Runners,None,None
Beat It,Michael Jackson,1983,4,30,Michael Jackson,None,None
Beat It,Michael Jackson,1983,5,7,Michael Jackson,None,None
Beat It,Michael Jackson,1983,5,14,Michael Jackson,None,None
Let's Dance,David Bowie,1983,5,21,David Bowie,None,None
Flashdance... What a Feeling,Irene Cara,1983,5,28,Irene Cara,None,None
Flashdance... What a Feeling,Irene Cara,1983,6,4,Irene Cara,None,None
Flashdance... What a Feeling,Irene Cara,1983,6,11,Irene Cara,None,None
Flashdance... What a Feeling,Irene Cara,1983,6,18,Irene Cara,None,None
Flashdance... What a Feeling,Irene Cara,1983,6,25,Irene Cara,None,None
Flashdance... What a Feeling,Irene Cara,1983,7,2,Irene Cara,None,None
Every Breath You Take,The Police,1983,7,9,The Police,None,None
Every Breath You Take,The Police,1983,7,16,The Police,None,None
Every Breath You Take,The Police,1983,7,23,The Police,None,None
Every Breath You Take,The Police,1983,7,30,The Police,None,None
Every Breath You Take,The Police,1983,8,6,The Police,None,None
Every Breath You Take,The Police,1983,8,13,The Police,None,None
Every Breath You Take,The Police,1983,8,20,The Police,None,None
Every Breath You Take,The Police,1983,8,27,The Police,None,None
Sweet Dreams (Are Made of This),Eurythmics,1983,9,3,Eurythmics,None,None
Maniac,Michael Sembello,1983,9,10,Michael Sembello,None,None
Maniac,Michael Sembello,1983,9,17,Michael Sembello,None,None
Tell Her About It,Billy Joel,1983,9,24,Billy Joel,None,None
Total Eclipse of the Heart,Bonnie Tyler,1983,10,1,Bonnie Tyler,None,None
Total Eclipse of the Heart,Bonnie Tyler,1983,10,8,Bonnie Tyler,None,None
Total Eclipse of the Heart,Bonnie Tyler,1983,10,15,Bonnie Tyler,None,None
Total Eclipse of the Heart,Bonnie Tyler,1983,10,22,Bonnie Tyler,None,None
Islands in the Stream,Kenny Rogers and Dolly Parton,1983,10,29,Kenny Rogers and Dolly Parton,None,None
Islands in the Stream,Kenny Rogers and Dolly Parton,1983,11,5,Kenny Rogers and Dolly Parton,None,None
All Night Long (All Night),Lionel Richie,1983,11,12,Lionel Richie,None,None
All Night Long (All Night),Lionel Richie,1983,11,19,Lionel Richie,None,None
All Night Long (All Night),Lionel Richie,1983,11,26,Lionel Richie,None,None
All Night Long (All Night),Lionel Richie,1983,12,3,Lionel Richie,None,None
Say Say Say,Paul McCartney and Michael Jackson,1983,12,10,Paul McCartney and Michael Jackson,None,None
Say Say Say,Paul McCartney and Michael Jackson,1983,12,17,Paul McCartney and Michael Jackson,None,None
Say Say Say,Paul McCartney and Michael Jackson,1983,12,24,Paul McCartney and Michael Jackson,None,None
Say Say Say,Paul McCartney and Michael Jackson,1983,12,31,Paul McCartney and Michael Jackson,None,None
Say Say Say,Paul McCartney and Michael Jackson,1984,1,7,Paul McCartney and Michael Jackson,None,None
Say Say Say,Paul McCartney and Michael Jackson,1984,1,14,Paul McCartney and Michael Jackson,None,None
Owner of a Lonely Heart,Yes,1984,1,21,Yes,None,None
Owner of a Lonely Heart,Yes,1984,1,28,Yes,None,None
Karma Chameleon,Culture Club,1984,2,4,Culture Club,None,None
Karma Chameleon,Culture Club,1984,2,11,Culture Club,None,None
Karma Chameleon,Culture Club,1984,2,18,Culture Club,None,None
Jump,Van Halen,1984,2,25,Van Halen,None,None
Jump,Van Halen,1984,3,3,Van Halen,None,None
Jump,Van Halen,1984,3,10,Van Halen,None,None
Jump,Van Halen,1984,3,17,Van Halen,None,None
Jump,Van Halen,1984,3,24,Van Halen,None,None
Footloose,Kenny Loggins,1984,3,31,Kenny Loggins,None,None
Footloose,Kenny Loggins,1984,4,7,Kenny Loggins,None,None
Footloose,Kenny Loggins,1984,4,14,Kenny Loggins,None,None
Against All Odds (Take a Look at Me Now),Phil Collins,1984,4,21,Phil Collins,None,None
Against All Odds (Take a Look at Me Now),Phil Collins,1984,4,28,Phil Collins,None,None
Against All Odds (Take a Look at Me Now),Phil Collins,1984,5,5,Phil Collins,None,None
Hello,Lionel Richie,1984,5,12,Lionel Richie,None,None
Hello,Lionel Richie,1984,5,19,Lionel Richie,None,None
Let's Hear It for the Boy,Deniece Williams,1984,5,26,Deniece Williams,None,None
Let's Hear It for the Boy,Deniece Williams,1984,6,2,Deniece Williams,None,None
Time After Time,Cyndi Lauper,1984,6,9,Cyndi Lauper,None,None
Time After Time,Cyndi Lauper,1984,6,16,Cyndi Lauper,None,None
The Reflex,Duran Duran,1984,6,23,Duran Duran,None,None
The Reflex,Duran Duran,1984,6,30,Duran Duran,None,None
When Doves Cry,Prince,1984,7,7,Prince,None,None
When Doves Cry,Prince,1984,7,14,Prince,None,None
When Doves Cry,Prince,1984,7,21,Prince,None,None
When Doves Cry,Prince,1984,7,28,Prince,None,None
When Doves Cry,Prince,1984,8,4,Prince,None,None
Ghostbusters,"Ray Parker, Jr.",1984,8,11,Ray Parker,Jr.,None
Ghostbusters,"Ray Parker, Jr.",1984,8,18,Ray Parker,Jr.,None
Ghostbusters,"Ray Parker, Jr.",1984,8,25,Ray Parker,Jr.,None
What's Love Got to Do with It,Tina Turner,1984,9,1,Tina Turner,None,None
What's Love Got to Do with It,Tina Turner,1984,9,8,Tina Turner,None,None
What's Love Got to Do with It,Tina Turner,1984,9,15,Tina Turner,None,None
Missing You,John Waite,1984,9,22,John Waite,None,None
Let's Go Crazy,Prince and the Revolution,1984,9,29,Prince and the Revolution,None,None
Let's Go Crazy,Prince and the Revolution,1984,10,6,Prince and the Revolution,None,None
I Just Called to Say I Love You,Stevie Wonder,1984,10,13,Stevie Wonder,None,None
I Just Called to Say I Love You,Stevie Wonder,1984,10,20,Stevie Wonder,None,None
I Just Called to Say I Love You,Stevie Wonder,1984,10,27,Stevie Wonder,None,None
Caribbean Queen (No More Love on the Run),Billy Ocean,1984,11,3,Billy Ocean,None,None
Caribbean Queen (No More Love on the Run),Billy Ocean,1984,11,10,Billy Ocean,None,None
Wake Me Up Before You Go-Go,Wham!,1984,11,17,Wham!,None,None
Wake Me Up Before You Go-Go,Wham!,1984,11,24,Wham!,None,None
Wake Me Up Before You Go-Go,Wham!,1984,12,1,Wham!,None,None
Out of Touch,Daryl Hall and John Oates,1984,12,8,Daryl Hall and John Oates,None,None
Out of Touch,Daryl Hall and John Oates,1984,12,15,Daryl Hall and John Oates,None,None
Like a Virgin,Madonna,1984,12,22,Madonna,None,None
Like a Virgin,Madonna,1984,12,29,Madonna,None,None
Like a Virgin,Madonna,1985,1,5,Madonna,None,None
Like a Virgin,Madonna,1985,1,12,Madonna,None,None
Like a Virgin,Madonna,1985,1,19,Madonna,None,None
Like a Virgin,Madonna,1985,1,26,Madonna,None,None
I Want to Know What Love Is,Foreigner,1985,2,2,Foreigner,None,None
I Want to Know What Love Is,Foreigner,1985,2,9,Foreigner,None,None
Careless Whisper,"Wham! , George Michael",1985,2,16,Wham! ,George Michael,None
Careless Whisper,"Wham! , George Michael",1985,2,23,Wham! ,George Michael,None
Careless Whisper,"Wham! , George Michael",1985,3,2,Wham! ,George Michael,None
Can't Fight This Feeling,REO Speedwagon,1985,3,9,REO Speedwagon,None,None
Can't Fight This Feeling,REO Speedwagon,1985,3,16,REO Speedwagon,None,None
Can't Fight This Feeling,REO Speedwagon,1985,3,23,REO Speedwagon,None,None
One More Night,Phil Collins,1985,3,30,Phil Collins,None,None
One More Night,Phil Collins,1985,4,6,Phil Collins,None,None
We Are the World,USA for Africa,1985,4,13,USA for Africa,None,None
We Are the World,USA for Africa,1985,4,20,USA for Africa,None,None
We Are the World,USA for Africa,1985,4,27,USA for Africa,None,None
We Are the World,USA for Africa,1985,5,4,USA for Africa,None,None
Crazy for You,Madonna,1985,5,11,Madonna,None,None
