Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2
Brandy (You're a Fine Girl),Looking Glass,1972,8,26,Looking Glass,None,None
Alone Again (Naturally),Gilbert O'Sullivan,1972,9,2,Gilbert O'Sullivan,None,None
Alone Again (Naturally),Gilbert O'Sullivan,1972,9,9,Gilbert O'Sullivan,None,None
Black and White,Three Dog Night,1972,9,16,Three Dog Night,None,None
"Baby, Don't Get Hooked on Me",Mac Davis,1972,9,23,Mac Davis,None,None
"Baby, Don't Get Hooked on Me",Mac Davis,1972,9,30,Mac Davis,None,None
"Baby, Don't Get Hooked on Me",Mac Davis,1972,10,7,Mac Davis,None,None
Ben,Michael Jackson,1972,10,14,Michael Jackson,None,None
My Ding-a-Ling,Chuck Berry,1972,10,21,Chuck Berry,None,None
My Ding-a-Ling,Chuck Berry,1972,10,28,Chuck Berry,None,None
I Can See Clearly Now,Johnny Nash,1972,11,4,Johnny Nash,None,None
I Can See Clearly Now,Johnny Nash,1972,11,11,Johnny Nash,None,None
I Can See Clearly Now,Johnny Nash,1972,11,18,Johnny Nash,None,None
I Can See Clearly Now,Johnny Nash,1972,11,25,Johnny Nash,None,None
Papa Was a Rollin' Stone,The Temptations,1972,12,2,The Temptations,None,None
I Am Woman,Helen Reddy,1972,12,9,Helen Reddy,None,None
Me and Mrs. Jones,Billy Paul,1972,12,16,Billy Paul,None,None
Me and Mrs. Jones,Billy Paul,1972,12,23,Billy Paul,None,None
Me and Mrs. Jones,Billy Paul,1972,12,30,Billy Paul,None,None
You're So Vain,Carly Simon,1973,1,6,Carly Simon,None,None
You're So Vain,Carly Simon,1973,1,13,Carly Simon,None,None
You're So Vain,Carly Simon,1973,1,20,Carly Simon,None,None
Superstition,Stevie Wonder,1973,1,27,Stevie Wonder,None,None
Crocodile Rock,Elton John,1973,2,3,Elton John,None,None
Crocodile Rock,Elton John,1973,2,10,Elton John,None,None
Crocodile Rock,Elton John,1973,2,17,Elton John,None,None
Killing Me Softly with His Song,Roberta Flack,1973,2,24,Roberta Flack,None,None
Killing Me Softly with His Song,Roberta Flack,1973,3,3,Roberta Flack,None,None
Killing Me Softly with His Song,Roberta Flack,1973,3,10,Roberta Flack,None,None
Killing Me Softly with His Song,Roberta Flack,1973,3,17,Roberta Flack,None,None
Love Train,The O'Jays,1973,3,24,The O'Jays,None,None
Killing Me Softly with His Song,Roberta Flack,1973,3,31,Roberta Flack,None,None
The Night the Lights Went Out in Georgia,Vicki Lawrence,1973,4,7,Vicki Lawrence,None,None
The Night the Lights Went Out in Georgia,Vicki Lawrence,1973,4,14,Vicki Lawrence,None,None
Tie a Yellow Ribbon Round the Ole Oak Tree,"Dawn , Tony Orlando",1973,4,21,Dawn ,Tony Orlando,None
Tie a Yellow Ribbon Round the Ole Oak Tree,"Dawn , Tony Orlando",1973,4,28,Dawn ,Tony Orlando,None
Tie a Yellow Ribbon Round the Ole Oak Tree,"Dawn , Tony Orlando",1973,5,5,Dawn ,Tony Orlando,None
Tie a Yellow Ribbon Round the Ole Oak Tree,"Dawn , Tony Orlando",1973,5,12,Dawn ,Tony Orlando,None
You Are the Sunshine of My Life,Stevie Wonder,1973,5,19,Stevie Wonder,None,None
Frankenstein,The Edgar Winter Group,1973,5,26,The Edgar Winter Group,None,None
My Love,Paul McCartney & Wings,1973,6,2,Paul McCartney & Wings,None,None
My Love,Paul McCartney & Wings,1973,6,9,Paul McCartney & Wings,None,None
My Love,Paul McCartney & Wings,1973,6,16,Paul McCartney & Wings,None,None
My Love,Paul McCartney & Wings,1973,6,23,Paul McCartney & Wings,None,None
Give Me Love (Give Me Peace on Earth),George Harrison,1973,6,30,George Harrison,None,None
Will It Go Round in Circles,Billy Preston,1973,7,7,Billy Preston,None,None
Will It Go Round in Circles,Billy Preston,1973,7,14,Billy Preston,None,None
"Bad, Bad Leroy Brown",Jim Croce,1973,7,21,Jim Croce,None,None
"Bad, Bad Leroy Brown",Jim Croce,1973,7,28,Jim Croce,None,None
The Morning After,Maureen McGovern,1973,8,4,Maureen McGovern,None,None
The Morning After,Maureen McGovern,1973,8,11,Maureen McGovern,None,None
Touch Me in the Morning,Diana Ross,1973,8,18,Diana Ross,None,None
Brother Louie,Stories,1973,8,25,Stories,None,None
Brother Louie,Stories,1973,9,1,Stories,None,None
Let's Get It On,Marvin Gaye,1973,9,8,Marvin Gaye,None,None
Delta Dawn,Helen Reddy,1973,9,15,Helen Reddy,None,None
Let's Get It On,Marvin Gaye,1973,9,22,Marvin Gaye,None,None
We're an American Band,Grand Funk,1973,9,29,Grand Funk,None,None
Half-Breed,Cher,1973,10,6,Cher,None,None
Half-Breed,Cher,1973,10,13,Cher,None,None
Angie,The Rolling Stones,1973,10,20,The Rolling Stones,None,None
Midnight Train to Georgia,Gladys Knight & the Pips,1973,10,27,Gladys Knight & the Pips,None,None
Midnight Train to Georgia,Gladys Knight & the Pips,1973,11,3,Gladys Knight & the Pips,None,None
Keep on Truckin',Eddie Kendricks,1973,11,10,Eddie Kendricks,None,None
Keep on Truckin',Eddie Kendricks,1973,11,17,Eddie Kendricks,None,None
Photograph,Ringo Starr,1973,11,24,Ringo Starr,None,None
Top of the World,The Carpenters,1973,12,1,The Carpenters,None,None
Top of the World,The Carpenters,1973,12,8,The Carpenters,None,None
The Most Beautiful Girl,Charlie Rich,1973,12,15,Charlie Rich,None,None
The Most Beautiful Girl,Charlie Rich,1973,12,22,Charlie Rich,None,None
Time in a Bottle,Jim Croce,1973,12,29,Jim Croce,None,None
Time in a Bottle,Jim Croce,1974,1,5,Jim Croce,None,None
The Joker,Steve Miller Band,1974,1,12,Steve Miller Band,None,None
Show and Tell,Al Wilson,1974,1,19,Al Wilson,None,None
You're Sixteen,Ringo Starr,1974,1,26,Ringo Starr,None,None
The Way We Were,Barbra Streisand,1974,2,2,Barbra Streisand,None,None
Love's Theme,Love Unlimited Orchestra,1974,2,9,Love Unlimited Orchestra,None,None
The Way We Were,Barbra Streisand,1974,2,16,Barbra Streisand,None,None
The Way We Were,Barbra Streisand,1974,2,23,Barbra Streisand,None,None
Seasons in the Sun,Terry Jacks,1974,3,2,Terry Jacks,None,None
Seasons in the Sun,Terry Jacks,1974,3,9,Terry Jacks,None,None
Seasons in the Sun,Terry Jacks,1974,3,16,Terry Jacks,None,None
Dark Lady,Cher,1974,3,23,Cher,None,None
Sunshine on My Shoulders,John Denver,1974,3,30,John Denver,None,None
Hooked on a Feeling,Blue Swede,1974,4,6,Blue Swede,None,None
Bennie and the Jets,Elton John,1974,4,13,Elton John,None,None
TSOP (The Sound of Philadelphia),MFSB and The Three Degrees,1974,4,20,MFSB and The Three Degrees,None,None
TSOP (The Sound of Philadelphia),MFSB and The Three Degrees,1974,4,27,MFSB and The Three Degrees,None,None
The Loco-Motion,Grand Funk,1974,5,4,Grand Funk,None,None
The Loco-Motion,Grand Funk,1974,5,11,Grand Funk,None,None
The Streak,Ray Stevens,1974,5,18,Ray Stevens,None,None
The Streak,Ray Stevens,1974,5,25,Ray Stevens,None,None
The Streak,Ray Stevens,1974,6,1,Ray Stevens,None,None
