Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2,SongTitle,PriArtName
a horse with no name,America,1972,3,25,america,None,None,A Horse with No Name,America
a horse with no name,America,1972,4,1,america,None,None,A Horse with No Name,America
a horse with no name,America,1972,4,8,america,None,None,A Horse with No Name,America
the first time ever i saw your face,Roberta Flack,1972,4,15,roberta flack,None,None,The First Time Ever I Saw Your Face,Roberta Flack
the first time ever i saw your face,Roberta Flack,1972,4,22,roberta flack,None,None,The First Time Ever I Saw Your Face,Roberta Flack
the first time ever i saw your face,Roberta Flack,1972,4,29,roberta flack,None,None,The First Time Ever I Saw Your Face,Roberta Flack
the first time ever i saw your face,Roberta Flack,1972,5,6,roberta flack,None,None,The First Time Ever I Saw Your Face,Roberta Flack
the first time ever i saw your face,Roberta Flack,1972,5,13,roberta flack,None,None,The First Time Ever I Saw Your Face,Roberta Flack
the first time ever i saw your face,Roberta Flack,1972,5,20,roberta flack,None,None,The First Time Ever I Saw Your Face,Roberta Flack
oh girl,The Chi-Lites,1972,5,27,the chi-lites,None,None,Oh Girl,The Chi-Lites
ill take you there,The Staple Singers,1972,6,3,the staple singers,None,None,I'll Take You There,The Staple Singers
the candy man,Sammy Davis Jr.,1972,6,10,sammy davis jr,None,None,The Candy Man,Sammy Davis Jr.
the candy man,Sammy Davis Jr.,1972,6,17,sammy davis jr,None,None,The Candy Man,Sammy Davis Jr.
the candy man,Sammy Davis Jr.,1972,6,24,sammy davis jr,None,None,The Candy Man,Sammy Davis Jr.
song sung blue,Neil Diamond,1972,7,1,neil diamond,None,None,Song Sung Blue,Neil Diamond
lean on me,Bill Withers,1972,7,8,bill withers,None,None,Lean on Me,Bill Withers
lean on me,Bill Withers,1972,7,15,bill withers,None,None,Lean on Me,Bill Withers
lean on me,Bill Withers,1972,7,22,bill withers,None,None,Lean on Me,Bill Withers
alone again naturally,Gilbert O'Sullivan,1972,7,29,gilbert osullivan,None,None,Alone Again (Naturally),Gilbert O'Sullivan
alone again naturally,Gilbert O'Sullivan,1972,8,5,gilbert osullivan,None,None,Alone Again (Naturally),Gilbert O'Sullivan
alone again naturally,Gilbert O'Sullivan,1972,8,12,gilbert osullivan,None,None,Alone Again (Naturally),Gilbert O'Sullivan
alone again naturally,Gilbert O'Sullivan,1972,8,19,gilbert osullivan,None,None,Alone Again (Naturally),Gilbert O'Sullivan
brandy youre a fine girl,Looking Glass,1972,8,26,looking glass,None,None,Brandy (You're a Fine Girl),Looking Glass
alone again naturally,Gilbert O'Sullivan,1972,9,2,gilbert osullivan,None,None,Alone Again (Naturally),Gilbert O'Sullivan
alone again naturally,Gilbert O'Sullivan,1972,9,9,gilbert osullivan,None,None,Alone Again (Naturally),Gilbert O'Sullivan
black and white,Three Dog Night,1972,9,16,three dog night,None,None,Black and White,Three Dog Night
baby dont get hooked on me,Mac Davis,1972,9,23,mac davis,None,None,"Baby, Don't Get Hooked on Me",Mac Davis
baby dont get hooked on me,Mac Davis,1972,9,30,mac davis,None,None,"Baby, Don't Get Hooked on Me",Mac Davis
baby dont get hooked on me,Mac Davis,1972,10,7,mac davis,None,None,"Baby, Don't Get Hooked on Me",Mac Davis
ben,Michael Jackson,1972,10,14,michael jackson,None,None,Ben,Michael Jackson
my ding-a-ling,Chuck Berry,1972,10,21,chuck berry,None,None,My Ding-a-Ling,Chuck Berry
