Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2,SongTitle,PriArtName
lady,Kenny Rogers,1980,11,15,kenny rogers,None,None,Lady,Kenny Rogers
lady,Kenny Rogers,1980,11,22,kenny rogers,None,None,Lady,Kenny Rogers
lady,Kenny Rogers,1980,11,29,kenny rogers,None,None,Lady,Kenny Rogers
lady,Kenny Rogers,1980,12,6,kenny rogers,None,None,Lady,Kenny Rogers
lady,Kenny Rogers,1980,12,13,kenny rogers,None,None,Lady,Kenny Rogers
lady,Kenny Rogers,1980,12,20,kenny rogers,None,None,Lady,Kenny Rogers
just like starting over,John Lennon,1980,12,27,john lennon,None,None,(Just Like) Starting Over,John Lennon
just like starting over,John Lennon,1981,1,3,john lennon,None,None,(Just Like) Starting Over,John Lennon
just like starting over,John Lennon,1981,1,10,john lennon,None,None,(Just Like) Starting Over,John Lennon
just like starting over,John Lennon,1981,1,17,john lennon,None,None,(Just Like) Starting Over,John Lennon
just like starting over,John Lennon,1981,1,24,john lennon,None,None,(Just Like) Starting Over,John Lennon
the tide is high,Blondie,1981,1,31,blondie,None,None,The Tide Is High,Blondie
celebration,Kool & the Gang,1981,2,7,kool and the gang,None,None,Celebration,Kool & the Gang
celebration,Kool & the Gang,1981,2,14,kool and the gang,None,None,Celebration,Kool & the Gang
9 to 5,Dolly Parton,1981,2,21,dolly parton,None,None,9 to 5,Dolly Parton
i love a rainy night,Eddie Rabbitt,1981,2,28,eddie rabbitt,None,None,I Love a Rainy Night,Eddie Rabbitt
i love a rainy night,Eddie Rabbitt,1981,3,7,eddie rabbitt,None,None,I Love a Rainy Night,Eddie Rabbitt
9 to 5,Dolly Parton,1981,3,14,dolly parton,None,None,9 to 5,Dolly Parton
keep on loving you,REO Speedwagon,1981,3,21,reo speedwagon,None,None,Keep On Loving You,REO Speedwagon
rapture,Blondie,1981,3,28,blondie,None,None,Rapture,Blondie
rapture,Blondie,1981,4,4,blondie,None,None,Rapture,Blondie
kiss on my list,Daryl Hall and John Oates,1981,4,11,daryl hall and john oates,None,None,Kiss on My List,Daryl Hall and John Oates
kiss on my list,Daryl Hall and John Oates,1981,4,18,daryl hall and john oates,None,None,Kiss on My List,Daryl Hall and John Oates
kiss on my list,Daryl Hall and John Oates,1981,4,25,daryl hall and john oates,None,None,Kiss on My List,Daryl Hall and John Oates
morning train nine to five,Sheena Easton,1981,5,2,sheena easton,None,None,Morning Train (Nine to Five),Sheena Easton
morning train nine to five,Sheena Easton,1981,5,9,sheena easton,None,None,Morning Train (Nine to Five),Sheena Easton
bette davis eyes,Kim Carnes,1981,5,16,kim carnes,None,None,Bette Davis Eyes,Kim Carnes
bette davis eyes,Kim Carnes,1981,5,23,kim carnes,None,None,Bette Davis Eyes,Kim Carnes
bette davis eyes,Kim Carnes,1981,5,30,kim carnes,None,None,Bette Davis Eyes,Kim Carnes
bette davis eyes,Kim Carnes,1981,6,6,kim carnes,None,None,Bette Davis Eyes,Kim Carnes
bette davis eyes,Kim Carnes,1981,6,13,kim carnes,None,None,Bette Davis Eyes,Kim Carnes
stars on 45,Stars on 45,1981,6,20,stars on 45,None,None,Stars on 45,Stars on 45
bette davis eyes,Kim Carnes,1981,6,27,kim carnes,None,None,Bette Davis Eyes,Kim Carnes
bette davis eyes,Kim Carnes,1981,7,4,kim carnes,None,None,Bette Davis Eyes,Kim Carnes
bette davis eyes,Kim Carnes,1981,7,11,kim carnes,None,None,Bette Davis Eyes,Kim Carnes
bette davis eyes,Kim Carnes,1981,7,18,kim carnes,None,None,Bette Davis Eyes,Kim Carnes
the one that you love,Air Supply,1981,7,25,air supply,None,None,The One That You Love,Air Supply
jessies girl,Rick Springfield,1981,8,1,rick springfield,None,None,Jessie's Girl,Rick Springfield
jessies girl,Rick Springfield,1981,8,8,rick springfield,None,None,Jessie's Girl,Rick Springfield
endless love,Diana Ross and Lionel Richie,1981,8,15,diana ross and lionel richie,None,None,Endless Love,Diana Ross and Lionel Richie
endless love,Diana Ross and Lionel Richie,1981,8,22,diana ross and lionel richie,None,None,Endless Love,Diana Ross and Lionel Richie
endless love,Diana Ross and Lionel Richie,1981,8,29,diana ross and lionel richie,None,None,Endless Love,Diana Ross and Lionel Richie
endless love,Diana Ross and Lionel Richie,1981,9,5,diana ross and lionel richie,None,None,Endless Love,Diana Ross and Lionel Richie
endless love,Diana Ross and Lionel Richie,1981,9,12,diana ross and lionel richie,None,None,Endless Love,Diana Ross and Lionel Richie
endless love,Diana Ross and Lionel Richie,1981,9,19,diana ross and lionel richie,None,None,Endless Love,Diana Ross and Lionel Richie
endless love,Diana Ross and Lionel Richie,1981,9,26,diana ross and lionel richie,None,None,Endless Love,Diana Ross and Lionel Richie
endless love,Diana Ross and Lionel Richie,1981,10,3,diana ross and lionel richie,None,None,Endless Love,Diana Ross and Lionel Richie
endless love,Diana Ross and Lionel Richie,1981,10,10,diana ross and lionel richie,None,None,Endless Love,Diana Ross and Lionel Richie
arthurs theme best that you can do,Christopher Cross,1981,10,17,christopher cross,None,None,Arthur's Theme (Best That You Can Do),Christopher Cross
arthurs theme best that you can do,Christopher Cross,1981,10,24,christopher cross,None,None,Arthur's Theme (Best That You Can Do),Christopher Cross
arthurs theme best that you can do,Christopher Cross,1981,10,31,christopher cross,None,None,Arthur's Theme (Best That You Can Do),Christopher Cross
private eyes,Daryl Hall and John Oates,1981,11,7,daryl hall and john oates,None,None,Private Eyes,Daryl Hall and John Oates
private eyes,Daryl Hall and John Oates,1981,11,14,daryl hall and john oates,None,None,Private Eyes,Daryl Hall and John Oates
physical,Olivia Newton-John,1981,11,21,olivia newton-john,None,None,Physical,Olivia Newton-John
physical,Olivia Newton-John,1981,11,28,olivia newton-john,None,None,Physical,Olivia Newton-John
physical,Olivia Newton-John,1981,12,5,olivia newton-john,None,None,Physical,Olivia Newton-John
physical,Olivia Newton-John,1981,12,12,olivia newton-john,None,None,Physical,Olivia Newton-John
physical,Olivia Newton-John,1981,12,19,olivia newton-john,None,None,Physical,Olivia Newton-John
physical,Olivia Newton-John,1981,12,26,olivia newton-john,None,None,Physical,Olivia Newton-John
physical,Olivia Newton-John,1982,1,2,olivia newton-john,None,None,Physical,Olivia Newton-John
physical,Olivia Newton-John,1982,1,9,olivia newton-john,None,None,Physical,Olivia Newton-John
physical,Olivia Newton-John,1982,1,16,olivia newton-john,None,None,Physical,Olivia Newton-John
physical,Olivia Newton-John,1982,1,23,olivia newton-john,None,None,Physical,Olivia Newton-John
i cant go for that no can do,Daryl Hall and John Oates,1982,1,30,daryl hall and john oates,None,None,I Can't Go for That (No Can Do),Daryl Hall and John Oates
centerfold,The J. Geils Band,1982,2,6,the j geils band,None,None,Centerfold,The J. Geils Band
centerfold,The J. Geils Band,1982,2,13,the j geils band,None,None,Centerfold,The J. Geils Band
centerfold,The J. Geils Band,1982,2,20,the j geils band,None,None,Centerfold,The J. Geils Band
centerfold,The J. Geils Band,1982,2,27,the j geils band,None,None,Centerfold,The J. Geils Band
centerfold,The J. Geils Band,1982,3,6,the j geils band,None,None,Centerfold,The J. Geils Band
centerfold,The J. Geils Band,1982,3,13,the j geils band,None,None,Centerfold,The J. Geils Band
i love rock n roll,Joan Jett and the Blackhearts,1982,3,20,joan jett and the blackhearts,None,None,I Love Rock 'n' Roll,Joan Jett and the Blackhearts
i love rock n roll,Joan Jett and the Blackhearts,1982,3,27,joan jett and the blackhearts,None,None,I Love Rock 'n' Roll,Joan Jett and the Blackhearts
i love rock n roll,Joan Jett and the Blackhearts,1982,4,3,joan jett and the blackhearts,None,None,I Love Rock 'n' Roll,Joan Jett and the Blackhearts
i love rock n roll,Joan Jett and the Blackhearts,1982,4,10,joan jett and the blackhearts,None,None,I Love Rock 'n' Roll,Joan Jett and the Blackhearts
i love rock n roll,Joan Jett and the Blackhearts,1982,4,17,joan jett and the blackhearts,None,None,I Love Rock 'n' Roll,Joan Jett and the Blackhearts
i love rock n roll,Joan Jett and the Blackhearts,1982,4,24,joan jett and the blackhearts,None,None,I Love Rock 'n' Roll,Joan Jett and the Blackhearts
i love rock n roll,Joan Jett and the Blackhearts,1982,5,1,joan jett and the blackhearts,None,None,I Love Rock 'n' Roll,Joan Jett and the Blackhearts
chariots of fire,Vangelis,1982,5,8,vangelis,None,None,Chariots of Fire,Vangelis
ebony and ivory,Paul McCartney and Stevie Wonder,1982,5,15,paul mccartney and stevie wonder,None,None,Ebony and Ivory,Paul McCartney and Stevie Wonder
ebony and ivory,Paul McCartney and Stevie Wonder,1982,5,22,paul mccartney and stevie wonder,None,None,Ebony and Ivory,Paul McCartney and Stevie Wonder
ebony and ivory,Paul McCartney and Stevie Wonder,1982,5,29,paul mccartney and stevie wonder,None,None,Ebony and Ivory,Paul McCartney and Stevie Wonder
ebony and ivory,Paul McCartney and Stevie Wonder,1982,6,5,paul mccartney and stevie wonder,None,None,Ebony and Ivory,Paul McCartney and Stevie Wonder
ebony and ivory,Paul McCartney and Stevie Wonder,1982,6,12,paul mccartney and stevie wonder,None,None,Ebony and Ivory,Paul McCartney and Stevie Wonder
ebony and ivory,Paul McCartney and Stevie Wonder,1982,6,19,paul mccartney and stevie wonder,None,None,Ebony and Ivory,Paul McCartney and Stevie Wonder
ebony and ivory,Paul McCartney and Stevie Wonder,1982,6,26,paul mccartney and stevie wonder,None,None,Ebony and Ivory,Paul McCartney and Stevie Wonder
dont you want me,The Human League,1982,7,3,the human league,None,None,Don't You Want Me,The Human League
dont you want me,The Human League,1982,7,10,the human league,None,None,Don't You Want Me,The Human League
dont you want me,The Human League,1982,7,17,the human league,None,None,Don't You Want Me,The Human League
eye of the tiger,Survivor,1982,7,24,survivor,None,None,Eye of the Tiger,Survivor
eye of the tiger,Survivor,1982,7,31,survivor,None,None,Eye of the Tiger,Survivor
eye of the tiger,Survivor,1982,8,7,survivor,None,None,Eye of the Tiger,Survivor
eye of the tiger,Survivor,1982,8,14,survivor,None,None,Eye of the Tiger,Survivor
eye of the tiger,Survivor,1982,8,21,survivor,None,None,Eye of the Tiger,Survivor
eye of the tiger,Survivor,1982,8,28,survivor,None,None,Eye of the Tiger,Survivor
abracadabra,Steve Miller Band,1982,9,4,steve miller band,None,None,Abracadabra,Steve Miller Band
hard to say im sorry,Chicago,1982,9,11,chicago,None,None,Hard to Say I'm Sorry,Chicago
hard to say im sorry,Chicago,1982,9,18,chicago,None,None,Hard to Say I'm Sorry,Chicago
abracadabra,Steve Miller Band,1982,9,25,steve miller band,None,None,Abracadabra,Steve Miller Band
jack and diane,John Cougar,1982,10,2,john cougar,None,None,Jack & Diane,John Cougar
jack and diane,John Cougar,1982,10,9,john cougar,None,None,Jack & Diane,John Cougar
jack and diane,John Cougar,1982,10,16,john cougar,None,None,Jack & Diane,John Cougar
jack and diane,John Cougar,1982,10,23,john cougar,None,None,Jack & Diane,John Cougar
who can it be now?,Men at Work,1982,10,30,men at work,None,None,Who Can It Be Now?,Men at Work
up where we belong,Joe Cocker and Jennifer Warnes,1982,11,6,joe cocker and jennifer warnes,None,None,Up Where We Belong,Joe Cocker and Jennifer Warnes
up where we belong,Joe Cocker and Jennifer Warnes,1982,11,13,joe cocker and jennifer warnes,None,None,Up Where We Belong,Joe Cocker and Jennifer Warnes
up where we belong,Joe Cocker and Jennifer Warnes,1982,11,20,joe cocker and jennifer warnes,None,None,Up Where We Belong,Joe Cocker and Jennifer Warnes
truly,Lionel Richie,1982,11,27,lionel richie,None,None,Truly,Lionel Richie
truly,Lionel Richie,1982,12,4,lionel richie,None,None,Truly,Lionel Richie
mickey,Toni Basil,1982,12,11,toni basil,None,None,Mickey,Toni Basil
maneater,Daryl Hall and John Oates,1982,12,18,daryl hall and john oates,None,None,Maneater,Daryl Hall and John Oates
maneater,Daryl Hall and John Oates,1982,12,25,daryl hall and john oates,None,None,Maneater,Daryl Hall and John Oates
maneater,Daryl Hall and John Oates,1983,1,1,daryl hall and john oates,None,None,Maneater,Daryl Hall and John Oates
maneater,Daryl Hall and John Oates,1983,1,8,daryl hall and john oates,None,None,Maneater,Daryl Hall and John Oates
down under,Men at Work,1983,1,15,men at work,None,None,Down Under,Men at Work
down under,Men at Work,1983,1,22,men at work,None,None,Down Under,Men at Work
down under,Men at Work,1983,1,29,men at work,None,None,Down Under,Men at Work
africa,Toto,1983,2,5,toto,None,None,Africa,Toto
down under,Men at Work,1983,2,12,men at work,None,None,Down Under,Men at Work
baby come to me,Patti Austin and James Ingram,1983,2,19,patti austin and james ingram,None,None,"Baby, Come to Me",Patti Austin and James Ingram
baby come to me,Patti Austin and James Ingram,1983,2,26,patti austin and james ingram,None,None,"Baby, Come to Me",Patti Austin and James Ingram
billie jean,Michael Jackson,1983,3,5,michael jackson,None,None,Billie Jean,Michael Jackson
billie jean,Michael Jackson,1983,3,12,michael jackson,None,None,Billie Jean,Michael Jackson
billie jean,Michael Jackson,1983,3,19,michael jackson,None,None,Billie Jean,Michael Jackson
billie jean,Michael Jackson,1983,3,26,michael jackson,None,None,Billie Jean,Michael Jackson
billie jean,Michael Jackson,1983,4,2,michael jackson,None,None,Billie Jean,Michael Jackson
billie jean,Michael Jackson,1983,4,9,michael jackson,None,None,Billie Jean,Michael Jackson
billie jean,Michael Jackson,1983,4,16,michael jackson,None,None,Billie Jean,Michael Jackson
come on eileen,Dexys Midnight Runners,1983,4,23,dexys midnight runners,None,None,Come On Eileen,Dexys Midnight Runners
beat it,Michael Jackson,1983,4,30,michael jackson,None,None,Beat It,Michael Jackson
beat it,Michael Jackson,1983,5,7,michael jackson,None,None,Beat It,Michael Jackson
beat it,Michael Jackson,1983,5,14,michael jackson,None,None,Beat It,Michael Jackson
lets dance,David Bowie,1983,5,21,david bowie,None,None,Let's Dance,David Bowie
flashdance what a feeling,Irene Cara,1983,5,28,irene cara,None,None,Flashdance... What a Feeling,Irene Cara
flashdance what a feeling,Irene Cara,1983,6,4,irene cara,None,None,Flashdance... What a Feeling,Irene Cara
flashdance what a feeling,Irene Cara,1983,6,11,irene cara,None,None,Flashdance... What a Feeling,Irene Cara
flashdance what a feeling,Irene Cara,1983,6,18,irene cara,None,None,Flashdance... What a Feeling,Irene Cara
flashdance what a feeling,Irene Cara,1983,6,25,irene cara,None,None,Flashdance... What a Feeling,Irene Cara
flashdance what a feeling,Irene Cara,1983,7,2,irene cara,None,None,Flashdance... What a Feeling,Irene Cara
every breath you take,The Police,1983,7,9,the police,None,None,Every Breath You Take,The Police
every breath you take,The Police,1983,7,16,the police,None,None,Every Breath You Take,The Police
every breath you take,The Police,1983,7,23,the police,None,None,Every Breath You Take,The Police
every breath you take,The Police,1983,7,30,the police,None,None,Every Breath You Take,The Police
every breath you take,The Police,1983,8,6,the police,None,None,Every Breath You Take,The Police
every breath you take,The Police,1983,8,13,the police,None,None,Every Breath You Take,The Police
every breath you take,The Police,1983,8,20,the police,None,None,Every Breath You Take,The Police
every breath you take,The Police,1983,8,27,the police,None,None,Every Breath You Take,The Police
sweet dreams are made of this,Eurythmics,1983,9,3,eurythmics,None,None,Sweet Dreams (Are Made of This),Eurythmics
maniac,Michael Sembello,1983,9,10,michael sembello,None,None,Maniac,Michael Sembello
maniac,Michael Sembello,1983,9,17,michael sembello,None,None,Maniac,Michael Sembello
tell her about it,Billy Joel,1983,9,24,billy joel,None,None,Tell Her About It,Billy Joel
total eclipse of the heart,Bonnie Tyler,1983,10,1,bonnie tyler,None,None,Total Eclipse of the Heart,Bonnie Tyler
total eclipse of the heart,Bonnie Tyler,1983,10,8,bonnie tyler,None,None,Total Eclipse of the Heart,Bonnie Tyler
total eclipse of the heart,Bonnie Tyler,1983,10,15,bonnie tyler,None,None,Total Eclipse of the Heart,Bonnie Tyler
total eclipse of the heart,Bonnie Tyler,1983,10,22,bonnie tyler,None,None,Total Eclipse of the Heart,Bonnie Tyler
islands in the stream,Kenny Rogers and Dolly Parton,1983,10,29,kenny rogers and dolly parton,None,None,Islands in the Stream,Kenny Rogers and Dolly Parton
islands in the stream,Kenny Rogers and Dolly Parton,1983,11,5,kenny rogers and dolly parton,None,None,Islands in the Stream,Kenny Rogers and Dolly Parton
all night long all night,Lionel Richie,1983,11,12,lionel richie,None,None,All Night Long (All Night),Lionel Richie
all night long all night,Lionel Richie,1983,11,19,lionel richie,None,None,All Night Long (All Night),Lionel Richie
all night long all night,Lionel Richie,1983,11,26,lionel richie,None,None,All Night Long (All Night),Lionel Richie
all night long all night,Lionel Richie,1983,12,3,lionel richie,None,None,All Night Long (All Night),Lionel Richie
say say say,Paul McCartney and Michael Jackson,1983,12,10,paul mccartney and michael jackson,None,None,Say Say Say,Paul McCartney and Michael Jackson
say say say,Paul McCartney and Michael Jackson,1983,12,17,paul mccartney and michael jackson,None,None,Say Say Say,Paul McCartney and Michael Jackson
say say say,Paul McCartney and Michael Jackson,1983,12,24,paul mccartney and michael jackson,None,None,Say Say Say,Paul McCartney and Michael Jackson
say say say,Paul McCartney and Michael Jackson,1983,12,31,paul mccartney and michael jackson,None,None,Say Say Say,Paul McCartney and Michael Jackson
say say say,Paul McCartney and Michael Jackson,1984,1,7,paul mccartney and michael jackson,None,None,Say Say Say,Paul McCartney and Michael Jackson
say say say,Paul McCartney and Michael Jackson,1984,1,14,paul mccartney and michael jackson,None,None,Say Say Say,Paul McCartney and Michael Jackson
owner of a lonely heart,Yes,1984,1,21,yes,None,None,Owner of a Lonely Heart,Yes
owner of a lonely heart,Yes,1984,1,28,yes,None,None,Owner of a Lonely Heart,Yes
karma chameleon,Culture Club,1984,2,4,culture club,None,None,Karma Chameleon,Culture Club
karma chameleon,Culture Club,1984,2,11,culture club,None,None,Karma Chameleon,Culture Club
karma chameleon,Culture Club,1984,2,18,culture club,None,None,Karma Chameleon,Culture Club
jump,Van Halen,1984,2,25,van halen,None,None,Jump,Van Halen
jump,Van Halen,1984,3,3,van halen,None,None,Jump,Van Halen
jump,Van Halen,1984,3,10,van halen,None,None,Jump,Van Halen
jump,Van Halen,1984,3,17,van halen,None,None,Jump,Van Halen
jump,Van Halen,1984,3,24,van halen,None,None,Jump,Van Halen
footloose,Kenny Loggins,1984,3,31,kenny loggins,None,None,Footloose,Kenny Loggins
footloose,Kenny Loggins,1984,4,7,kenny loggins,None,None,Footloose,Kenny Loggins
footloose,Kenny Loggins,1984,4,14,kenny loggins,None,None,Footloose,Kenny Loggins
against all odds take a look at me now,Phil Collins,1984,4,21,phil collins,None,None,Against All Odds (Take a Look at Me Now),Phil Collins
against all odds take a look at me now,Phil Collins,1984,4,28,phil collins,None,None,Against All Odds (Take a Look at Me Now),Phil Collins
against all odds take a look at me now,Phil Collins,1984,5,5,phil collins,None,None,Against All Odds (Take a Look at Me Now),Phil Collins
hello,Lionel Richie,1984,5,12,lionel richie,None,None,Hello,Lionel Richie
hello,Lionel Richie,1984,5,19,lionel richie,None,None,Hello,Lionel Richie
lets hear it for the boy,Deniece Williams,1984,5,26,deniece williams,None,None,Let's Hear It for the Boy,Deniece Williams
lets hear it for the boy,Deniece Williams,1984,6,2,deniece williams,None,None,Let's Hear It for the Boy,Deniece Williams
time after time,Cyndi Lauper,1984,6,9,cyndi lauper,None,None,Time After Time,Cyndi Lauper
time after time,Cyndi Lauper,1984,6,16,cyndi lauper,None,None,Time After Time,Cyndi Lauper
the reflex,Duran Duran,1984,6,23,duran duran,None,None,The Reflex,Duran Duran
the reflex,Duran Duran,1984,6,30,duran duran,None,None,The Reflex,Duran Duran
when doves cry,Prince,1984,7,7,prince,None,None,When Doves Cry,Prince
when doves cry,Prince,1984,7,14,prince,None,None,When Doves Cry,Prince
when doves cry,Prince,1984,7,21,prince,None,None,When Doves Cry,Prince
when doves cry,Prince,1984,7,28,prince,None,None,When Doves Cry,Prince
when doves cry,Prince,1984,8,4,prince,None,None,When Doves Cry,Prince
ghostbusters,"Ray Parker, Jr.",1984,8,11,ray parker,Jr.,None,Ghostbusters,Ray Parker
ghostbusters,"Ray Parker, Jr.",1984,8,18,ray parker,Jr.,None,Ghostbusters,Ray Parker
ghostbusters,"Ray Parker, Jr.",1984,8,25,ray parker,Jr.,None,Ghostbusters,Ray Parker
whats love got to do with it,Tina Turner,1984,9,1,tina turner,None,None,What's Love Got to Do with It,Tina Turner
whats love got to do with it,Tina Turner,1984,9,8,tina turner,None,None,What's Love Got to Do with It,Tina Turner
whats love got to do with it,Tina Turner,1984,9,15,tina turner,None,None,What's Love Got to Do with It,Tina Turner
missing you,John Waite,1984,9,22,john waite,None,None,Missing You,John Waite
lets go crazy,Prince and the Revolution,1984,9,29,prince and the revolution,None,None,Let's Go Crazy,Prince and the Revolution
lets go crazy,Prince and the Revolution,1984,10,6,prince and the revolution,None,None,Let's Go Crazy,Prince and the Revolution
i just called to say i love you,Stevie Wonder,1984,10,13,stevie wonder,None,None,I Just Called to Say I Love You,Stevie Wonder
i just called to say i love you,Stevie Wonder,1984,10,20,stevie wonder,None,None,I Just Called to Say I Love You,Stevie Wonder
i just called to say i love you,Stevie Wonder,1984,10,27,stevie wonder,None,None,I Just Called to Say I Love You,Stevie Wonder
caribbean queen no more love on the run,Billy Ocean,1984,11,3,billy ocean,None,None,Caribbean Queen (No More Love on the Run),Billy Ocean
caribbean queen no more love on the run,Billy Ocean,1984,11,10,billy ocean,None,None,Caribbean Queen (No More Love on the Run),Billy Ocean
wake me up before you go-go,Wham!,1984,11,17,wham,None,None,Wake Me Up Before You Go-Go,Wham!
wake me up before you go-go,Wham!,1984,11,24,wham,None,None,Wake Me Up Before You Go-Go,Wham!
wake me up before you go-go,Wham!,1984,12,1,wham,None,None,Wake Me Up Before You Go-Go,Wham!
out of touch,Daryl Hall and John Oates,1984,12,8,daryl hall and john oates,None,None,Out of Touch,Daryl Hall and John Oates
out of touch,Daryl Hall and John Oates,1984,12,15,daryl hall and john oates,None,None,Out of Touch,Daryl Hall and John Oates
like a virgin,Madonna,1984,12,22,madonna,None,None,Like a Virgin,Madonna
like a virgin,Madonna,1984,12,29,madonna,None,None,Like a Virgin,Madonna
like a virgin,Madonna,1985,1,5,madonna,None,None,Like a Virgin,Madonna
like a virgin,Madonna,1985,1,12,madonna,None,None,Like a Virgin,Madonna
like a virgin,Madonna,1985,1,19,madonna,None,None,Like a Virgin,Madonna
like a virgin,Madonna,1985,1,26,madonna,None,None,Like a Virgin,Madonna
i want to know what love is,Foreigner,1985,2,2,foreigner,None,None,I Want to Know What Love Is,Foreigner
i want to know what love is,Foreigner,1985,2,9,foreigner,None,None,I Want to Know What Love Is,Foreigner
careless whisper,"Wham! , George Michael",1985,2,16,wham,George Michael,None,Careless Whisper,Wham! 
careless whisper,"Wham! , George Michael",1985,2,23,wham,George Michael,None,Careless Whisper,Wham! 
careless whisper,"Wham! , George Michael",1985,3,2,wham,George Michael,None,Careless Whisper,Wham! 
cant fight this feeling,REO Speedwagon,1985,3,9,reo speedwagon,None,None,Can't Fight This Feeling,REO Speedwagon
cant fight this feeling,REO Speedwagon,1985,3,16,reo speedwagon,None,None,Can't Fight This Feeling,REO Speedwagon
cant fight this feeling,REO Speedwagon,1985,3,23,reo speedwagon,None,None,Can't Fight This Feeling,REO Speedwagon
one more night,Phil Collins,1985,3,30,phil collins,None,None,One More Night,Phil Collins
one more night,Phil Collins,1985,4,6,phil collins,None,None,One More Night,Phil Collins
we are the world,USA for Africa,1985,4,13,usa for africa,None,None,We Are the World,USA for Africa
we are the world,USA for Africa,1985,4,20,usa for africa,None,None,We Are the World,USA for Africa
we are the world,USA for Africa,1985,4,27,usa for africa,None,None,We Are the World,USA for Africa
we are the world,USA for Africa,1985,5,4,usa for africa,None,None,We Are the World,USA for Africa
crazy for you,Madonna,1985,5,11,madonna,None,None,Crazy for You,Madonna
dont you forget about me,Simple Minds,1985,5,18,simple minds,None,None,Don't You (Forget About Me),Simple Minds
everything she wants,Wham!,1985,5,25,wham,None,None,Everything She Wants,Wham!
everything she wants,Wham!,1985,6,1,wham,None,None,Everything She Wants,Wham!
everybody wants to rule the world,Tears for Fears,1985,6,8,tears for fears,None,None,Everybody Wants to Rule the World,Tears for Fears
everybody wants to rule the world,Tears for Fears,1985,6,15,tears for fears,None,None,Everybody Wants to Rule the World,Tears for Fears
heaven,Bryan Adams,1985,6,22,bryan adams,None,None,Heaven,Bryan Adams
heaven,Bryan Adams,1985,6,29,bryan adams,None,None,Heaven,Bryan Adams
sussudio,Phil Collins,1985,7,6,phil collins,None,None,Sussudio,Phil Collins
a view to a kill,Duran Duran,1985,7,13,duran duran,None,None,A View to a Kill,Duran Duran
a view to a kill,Duran Duran,1985,7,20,duran duran,None,None,A View to a Kill,Duran Duran
everytime you go away,Paul Young,1985,7,27,paul young,None,None,Everytime You Go Away,Paul Young
shout,Tears for Fears,1985,8,3,tears for fears,None,None,Shout,Tears for Fears
shout,Tears for Fears,1985,8,10,tears for fears,None,None,Shout,Tears for Fears
shout,Tears for Fears,1985,8,17,tears for fears,None,None,Shout,Tears for Fears
the power of love,Huey Lewis and the News,1985,8,24,huey lewis and the news,None,None,The Power of Love,Huey Lewis and the News
the power of love,Huey Lewis and the News,1985,8,31,huey lewis and the news,None,None,The Power of Love,Huey Lewis and the News
st elmos fire man in motion,John Parr,1985,9,7,john parr,None,None,St. Elmo's Fire (Man in Motion),John Parr
st elmos fire man in motion,John Parr,1985,9,14,john parr,None,None,St. Elmo's Fire (Man in Motion),John Parr
money for nothing,Dire Straits,1985,9,21,dire straits,None,None,Money for Nothing,Dire Straits
money for nothing,Dire Straits,1985,9,28,dire straits,None,None,Money for Nothing,Dire Straits
money for nothing,Dire Straits,1985,10,5,dire straits,None,None,Money for Nothing,Dire Straits
oh sheila,Ready for the World,1985,10,12,ready for the world,None,None,Oh Sheila,Ready for the World
take on me,a-ha,1985,10,19,a-ha,None,None,Take On Me,a-ha
saving all my love for you,Whitney Houston,1985,10,26,whitney houston,None,None,Saving All My Love for You,Whitney Houston
part-time lover,Stevie Wonder,1985,11,2,stevie wonder,None,None,Part-Time Lover,Stevie Wonder
miami vice theme,Jan Hammer,1985,11,9,jan hammer,None,None,Miami Vice Theme,Jan Hammer
we built this city,Starship,1985,11,16,starship,None,None,We Built This City,Starship
we built this city,Starship,1985,11,23,starship,None,None,We Built This City,Starship
separate lives,Phil Collins and Marilyn Martin,1985,11,30,phil collins and marilyn martin,None,None,Separate Lives,Phil Collins and Marilyn Martin
broken wings,Mr. Mister,1985,12,7,mr mister,None,None,Broken Wings,Mr. Mister
broken wings,Mr. Mister,1985,12,14,mr mister,None,None,Broken Wings,Mr. Mister
say you say me,Lionel Richie,1985,12,21,lionel richie,None,None,"Say You, Say Me",Lionel Richie
say you say me,Lionel Richie,1985,12,28,lionel richie,None,None,"Say You, Say Me",Lionel Richie
say you say me,Lionel Richie,1986,1,4,lionel richie,None,None,"Say You, Say Me",Lionel Richie
say you say me,Lionel Richie,1986,1,11,lionel richie,None,None,"Say You, Say Me",Lionel Richie
thats what friends are for,Dionne and Friends,1986,1,18,dionne and friends,None,None,That's What Friends Are For,Dionne and Friends
thats what friends are for,Dionne and Friends,1986,1,25,dionne and friends,None,None,That's What Friends Are For,Dionne and Friends
thats what friends are for,Dionne and Friends,1986,2,1,dionne and friends,None,None,That's What Friends Are For,Dionne and Friends
thats what friends are for,Dionne and Friends,1986,2,8,dionne and friends,None,None,That's What Friends Are For,Dionne and Friends
how will i know,Whitney Houston,1986,2,15,whitney houston,None,None,How Will I Know,Whitney Houston
how will i know,Whitney Houston,1986,2,22,whitney houston,None,None,How Will I Know,Whitney Houston
kyrie,Mr. Mister,1986,3,1,mr mister,None,None,Kyrie,Mr. Mister
kyrie,Mr. Mister,1986,3,8,mr mister,None,None,Kyrie,Mr. Mister
sara,Starship,1986,3,15,starship,None,None,Sara,Starship
these dreams,Heart,1986,3,22,heart,None,None,These Dreams,Heart
